ANT1,62.45,95.57,90.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,59.92,87.08,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,40.34,73.38,90.00,10uF,NORDIC_NRF_3_RESC0402_L
C10,59.49,85.47,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,59.68,86.27,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,57.40,87.63,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,55.74,87.63,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,49.64,76.59,0.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C15,53.41,88.14,90.00,1uF,PERFECT_0402_0402
C16,55.89,88.78,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,50.47,86.13,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,50.79,85.34,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,49.89,77.77,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,61.98,89.28,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,35.09,71.00,270.00,4.7uF/25V,NORDIC_NRF_3_RESC0402_L
C20,51.10,78.94,270.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C21,52.52,78.72,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C22,63.09,84.03,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,42.20,87.72,90.00,0.1uF,HPC0201
C24,42.80,84.09,90.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C25,39.58,82.14,180.00,22uF,NORDIC_NRF_3_RESC0402_L
C27,34.52,89.67,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,53.92,70.16,0.00,1uF,PERFECT_0402_0402
C3,61.15,85.41,90.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,30.74,68.34,180.00,1uF,PERFECT_0402_0402
C31,43.53,69.75,0.00,1uF,PERFECT_0402_0402
C32,39.56,81.14,180.00,1uF,NORDIC_NRF_3_RESC0402_L
C33,41.99,80.46,180.00,22uF,NORDIC_NRF_3_RESC0402_L
C34,36.65,78.75,90.00,0.1uF,GRM011R60J152KE01L_1_0201
C37,46.75,86.43,0.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C38,43.53,81.88,180.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C39,41.64,84.67,270.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C4,63.06,85.26,180.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,41.88,91.31,90.00,0.1uF,GRM011R60J152KE01L_1_0201
C43,48.68,90.64,0.00,4.7uF,PERFECT_0402_0402
C5,50.73,87.17,180.00,100nF,HPC0201
C6,50.13,79.22,270.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C7,54.66,79.35,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,49.24,74.09,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,60.36,82.54,0.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,25.12,71.24,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,45.20,89.67,0.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,31.34,71.25,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,44.56,73.19,270.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,34.67,84.71,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C10,34.80,74.80,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C11,34.80,73.44,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C12,31.14,73.67,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C2,34.67,85.73,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C5,34.41,80.39,180.00,0.1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C6,34.75,79.34,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C7,34.80,78.30,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C8,34.80,77.29,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C9,34.80,75.82,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
IC1,45.30,84.15,90.00,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,38.73,78.83,270.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,49.33,82.90,0.00,BMA421,BMA423_BMA423
IC9,45.18,78.77,180.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,31.02,81.53,270.00,503480-2400,503480-2400_5034802400
J2,60.64,74.42,0.00,TC2030-IDC,TC2030-IDC_TC2030IDC
J4,45.10,95.20,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,61.17,83.76,0.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,52.32,88.27,90.00,10uH,NORDIC_NRF_2_RESC0402_L
L3,53.49,90.36,0.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,39.36,69.40,90.00,68uH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,42.04,78.22,90.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q1,37.77,73.91,180.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,48.31,70.65,90.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,47.50,77.90,270.00,3K3,ERA-1AEB3401C_0201
R18,46.70,82.22,270.00,3K3,ERA-1AEB3401C_0201
R1_EP_DR,48.94,68.15,180.00,0.47,CPF0201D7K68C1_0201
R1_USB,46.35,91.77,270.00,5K1,CPF0201D7K68C1_0201
R2,45.91,81.99,90.00,0,R0201
R2_EP_DR,47.64,67.95,180.00,10K,CPF0201D7K68C1_0201
R2_USB,43.17,91.74,270.00,5K1,CPF0201D7K68C1_0201
R3,46.70,81.46,90.00,0,CPF0201D7K68C1_0201
R4,47.49,77.06,90.00,0,R0201
R5,31.59,69.15,90.00,10k,CPF0201D7K68C1_0201
R7,54.68,71.10,90.00,10k,CPF0201D7K68C1_0201
R8,45.23,70.22,90.00,10k,CPF0201D7K68C1_0201
R9,47.74,85.28,270.00,10K,ERA-1AEB3401C_0201
R_PWR_EPD,38.70,76.36,270.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,48.88,67.03,180.00,2.2,CPF0201D7K68C1_0201
SJ1,51.11,68.79,270.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW1,55.86,67.80,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,44.91,67.87,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,33.91,67.92,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,65.22,79.73,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,39.56,83.77,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,30.78,94.46,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,52.64,95.48,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,37.13,76.54,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,40.28,75.57,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,54.88,77.04,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,48.22,79.35,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,44.25,86.76,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,64.64,82.62,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,51.32,73.56,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,53.58,75.33,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,38.43,86.45,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,40.07,89.42,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,55.12,83.45,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,36.98,82.57,270.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,59.82,88.77,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,49.63,88.76,0.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
